Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
"Congo, Dem. Rep.",COD,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,315000
"Congo, Dem. Rep.",COD,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,315000
"Congo, Dem. Rep.",COD,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,320000
"Congo, Dem. Rep.",COD,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,322000
"Congo, Dem. Rep.",COD,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,321000
"Congo, Dem. Rep.",COD,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,314000
"Congo, Dem. Rep.",COD,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,307760
"Congo, Dem. Rep.",COD,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,262000
"Congo, Dem. Rep.",COD,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,260000
"Congo, Dem. Rep.",COD,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,257450
"Congo, Dem. Rep.",COD,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,257000
"Congo, Dem. Rep.",COD,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,256500
"Congo, Dem. Rep.",COD,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,255860
"Congo, Dem. Rep.",COD,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,255500
"Congo, Dem. Rep.",COD,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,255500
"Congo, Dem. Rep.",COD,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,255500
"Congo, Dem. Rep.",COD,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,255500
"Congo, Dem. Rep.",COD,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,255500
"Congo, Dem. Rep.",COD,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,256000
"Congo, Dem. Rep.",COD,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,256000
"Congo, Dem. Rep.",COD,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,257000
"Congo, Dem. Rep.",COD,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,257000
"Congo, Dem. Rep.",COD,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,258000
"Congo, Dem. Rep.",COD,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,258000
"Congo, Dem. Rep.",COD,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,260000
"Congo, Dem. Rep.",COD,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,260000
"Congo, Dem. Rep.",COD,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,260000
"Congo, Dem. Rep.",COD,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,259800
"Congo, Dem. Rep.",COD,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,259600
"Congo, Dem. Rep.",COD,1989,Agricultural land (sq. km),AG.LND.AGRI.K2,259500
"Congo, Dem. Rep.",COD,1988,Agricultural land (sq. km),AG.LND.AGRI.K2,259500
"Congo, Dem. Rep.",COD,1987,Agricultural land (sq. km),AG.LND.AGRI.K2,259500
"Congo, Dem. Rep.",COD,1986,Agricultural land (sq. km),AG.LND.AGRI.K2,259500
"Congo, Dem. Rep.",COD,1985,Agricultural land (sq. km),AG.LND.AGRI.K2,259000
"Congo, Dem. Rep.",COD,1984,Agricultural land (sq. km),AG.LND.AGRI.K2,258500
